year,month,timestamp,day_of_week,hour_of_day,route_id,direction,borough,route_type,stop_order,timepoint_stop_id,timepoint_stop_name,next_timepoint_stop_id,next_timepoint_stop_name,road_distance,average_travel_time,average_road_speed,bus_trip_count,timepoint_stop_georeference,next_timepoint_stop_georeference,date,week,time_of_day
2025,3,2025-03-01 17:00:00,Thursday,17,B3,E,Brooklyn,Local,24,300208,AVENUE U/NOSTRAND AV,300220,AVENUE U/FLATBUSH AV,1.29,13.070508,5.921727265793392,26,POINT (-73.941954 40.600372),POINT (-73.921794 40.610106),2025-03-01,9,17
2025,3,2025-03-01 10:00:00,Thursday,10,B84,S,Brooklyn,Local,1,306921,LIVONIA AV/ASHFORD ST,300590,COZINE AV /ASHFORD ST,0.724,4.416678,9.83544200621281,6,POINT (-73.883617 40.666382),POINT (-73.877775 40.658352),2025-03-01,9,10
2025,3,2025-03-01 18:00:00,Thursday,18,B84,S,Brooklyn,Local,1,306921,LIVONIA AV/ASHFORD ST,300590,COZINE AV /ASHFORD ST,0.724,6.199998,7.006454841684258,7,POINT (-73.883617 40.666382),POINT (-73.877775 40.658352),2025-03-01,9,18
2025,3,2025-03-01 10:00:00,Thursday,10,BXM1,S,Bronx,Express,29,403424,LEXINGTON AV/E 50 ST,403821,LEXINGTON AV / E 34 ST,0.8170000000000002,8.330304,5.8845406889109775,11,POINT (-73.972382 40.756659),POINT (-73.97997 40.746315),2025-03-01,9,10
2025,3,2025-03-01 12:00:00,Thursday,12,M11,S,Manhattan,Local,7,403447,W 135 ST/BROADWAY,401459,AMSTERDAM AV/W 129 ST,0.441,4.593336,5.7605229144065975,20,POINT (-73.954283 40.819614),POINT (-73.95525 40.814859),2025-03-01,9,12
2025,3,2025-03-01 15:00:00,Thursday,15,M50,E,Manhattan,Local,12,402171,E 50 ST/5 AV,402175,E 50 ST/2 AV,0.4999999999999998,11.384724,2.6351097633012643,12,POINT (-73.977104 40.758431),POINT (-73.9688 40.754881),2025-03-01,9,15
2025,3,2025-03-01 05:00:00,Thursday,5,Q15,N,Queens,Local,7,501153,150 ST/NORTHERN BLVD,501166,150 ST/15 DR,1.38,6.183336,13.390826556046797,8,POINT (-73.815117 40.765633),POINT (-73.813593 40.785497),2025-03-01,9,5
2025,3,2025-03-01 14:00:00,Thursday,14,Q15,N,Queens,Local,7,501153,150 ST/NORTHERN BLVD,501166,150 ST/15 DR,1.38,9.55209,8.668260035238362,8,POINT (-73.815117 40.765633),POINT (-73.813593 40.785497),2025-03-01,9,14
2025,3,2025-03-01 22:00:00,Thursday,22,Q7,E,Queens,Local,1,350000,PITKIN AV /EUCLID AV,553297,LIBERTY AV/95 ST,1.997,11.847918,10.113171811242738,8,POINT (-73.871784 40.675497),POINT (-73.84404 40.680362),2025-03-01,9,22
2025,3,2025-03-01 13:00:00,Thursday,13,QM6,W,Queens,Express,14,982213,UNION TPKE/188 ST,552508,UNION TPKE/MAIN ST,2.108,14.050008,9.00213202771102,4,POINT (-73.781349 40.729307),POINT (-73.818372 40.717576),2025-03-01,9,13
